game_id,team_id_h,cluster_0h,cluster_1h,cluster_2h,cluster_3h,cluster_4h,cluster_5h,cluster_6h,cluster_7h,cluster_8h,cluster_9h,cluster_10h,cluster_11h,team_id_a,cluster_0a,cluster_1a,cluster_2a,cluster_3a,cluster_4a,cluster_5a,cluster_6a,cluster_7a,cluster_8a,cluster_9a,cluster_10a,cluster_11a
20300174,1610612757,1,0,1,0,0,1,1,0,1,4,1,0,1610612745,1,0,1,0,1,1,1,0,0,6,0,1
20300175,1610612760,2,0,1,0,1,0,0,0,0,6,1,1,1610612763,0,0,2,0,0,2,1,0,1,5,1,0
20300176,1610612751,1,0,2,0,0,1,2,0,0,5,0,0,1610612761,0,0,2,0,1,2,0,0,1,5,0,1
20300177,1610612737,2,0,1,0,1,2,1,0,0,4,1,0,1610612739,0,0,1,0,0,1,1,0,1,5,2,0
20300178,1610612752,0,0,1,0,1,1,0,0,1,6,0,0,1610612755,0,0,1,0,1,2,1,0,1,3,0,1
20300179,1610612750,1,0,2,0,0,1,1,0,0,5,1,0,1610612746,0,0,2,0,0,1,0,0,1,5,0,2
20300180,1610612742,1,0,1,0,0,2,1,0,0,5,1,1,1610612743,1,0,0,0,2,2,0,0,0,4,1,1
20300181,1610612756,1,0,2,0,0,0,2,0,0,6,1,0,1610612748,1,0,2,0,0,2,0,0,0,5,2,0
20300182,1610612761,0,0,2,0,1,2,0,0,1,5,0,1,1610612749,2,0,1,0,0,1,0,0,2,5,0,0
20300183,1610612765,1,0,2,0,1,1,0,0,0,5,0,1,1610612740,1,0,2,0,0,2,0,0,1,5,0,1
20300184,1610612744,2,0,0,0,0,1,1,0,0,5,0,1,1610612757,1,0,1,0,0,0,1,0,2,5,1,0
20300185,1610612758,1,0,0,0,0,1,2,0,1,4,1,1,1610612741,1,0,1,0,0,2,1,0,3,3,1,0
20300186,1610612760,1,0,0,0,1,0,0,0,0,7,1,2,1610612764,1,0,1,0,1,3,0,0,0,5,0,1
20300187,1610612747,0,0,0,0,0,3,1,0,0,5,1,1,1610612763,0,0,3,0,0,2,1,0,2,4,0,0
20300188,1610612738,0,0,2,0,0,3,1,0,1,4,0,1,1610612752,0,0,1,0,0,2,1,0,1,5,0,0
20300189,1610612753,1,0,1,0,0,1,2,0,0,6,0,0,1610612754,0,0,1,0,0,3,1,0,0,6,0,1
20300190,1610612737,2,0,1,0,1,1,1,0,0,5,1,0,1610612765,0,0,3,0,1,1,0,0,0,5,0,1
20300191,1610612746,1,0,2,0,0,2,0,0,0,5,0,1,1610612745,1,0,1,0,1,2,1,0,0,5,0,1
20300192,1610612754,0,0,1,0,0,3,1,0,1,5,0,1,1610612750,1,0,2,0,0,1,1,0,0,5,1,0
20300193,1610612748,1,0,2,0,0,2,0,0,0,3,2,0,1610612740,1,0,2,0,0,2,0,0,1,5,0,1
20300194,1610612749,2,0,1,0,0,1,0,0,2,5,0,0,1610612755,0,0,2,0,1,3,0,0,1,4,0,1
20300195,1610612742,2,0,1,0,0,2,0,0,0,5,1,1,1610612741,1,0,1,0,0,2,1,0,3,3,1,0
20300196,1610612743,1,0,1,0,1,2,0,0,0,4,1,1,1610612756,2,0,1,0,0,0,1,0,0,7,1,0
20300197,1610612758,0,0,0,0,0,2,2,0,1,4,1,1,1610612763,0,0,3,0,0,2,1,0,2,4,0,0
20300198,1610612757,1,0,1,0,0,0,1,0,2,5,1,0,1610612764,1,0,1,0,1,3,0,0,0,5,0,0
20300199,1610612760,1,0,0,0,1,0,0,0,0,7,1,2,1610612751,1,0,2,0,0,0,2,0,0,6,1,0
20300200,1610612755,0,0,1,0,1,3,1,0,1,4,0,1,1610612765,1,0,3,0,1,1,0,0,0,5,0,1
20300201,1610612753,1,0,1,0,0,1,2,0,0,6,0,1,1610612738,0,0,2,0,0,3,1,0,1,4,0,1
20300202,1610612737,1,0,1,0,1,1,1,0,0,5,1,0,1610612761,0,0,2,0,1,2,0,0,1,5,0,1
20300203,1610612740,1,0,2,0,0,1,0,0,1,6,0,1,1610612739,0,0,1,0,0,1,1,0,1,4,2,0
20300204,1610612750,1,0,1,0,0,2,1,0,0,4,1,0,1610612752,1,0,1,0,1,2,1,0,1,4,0,0
