,player_id,player_name,game_id,home_team_id,visitor_team_id,season,team_id,played,mpg,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,cluster,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11
893,201974,Derrick Brown,4408819488,338228679172,338228679148,422087,338228680622,210,2037.9139395760142,273.92968832988976,545.4736655837889,72.66029652053707,9.37159669747871,32.61974871409665,5.932706453576272,144.241050849056,236.53787118548232,48.94682030798117,134.07351064681666,186.2929926887268,320.3665033355434,86.64889447464465,79.02995619241422,39.94949745676117,86.93939547719398,181.71213526131905,701.4720242063142,1847,0,0,1,0,0,9,0,0,0,200,0,0
894,201975,Jodie Meeks,11969056785,906774979830,906774980032,1133087,906774980798,563,11658.488415048521,1638.694075651116,3949.634391176627,200.0239365187016,762.5803419002056,2065.3130993899963,162.40906086330128,860.6905127964849,975.4179916744088,266.92104484943303,141.54480457775026,983.0254917658732,1124.5702963436236,560.3451523379168,414.6776101481496,40.39054331209176,416.15675597527775,630.6261709136595,4900.659005998923,2843,92,0,0,0,0,349,0,0,0,122,0,0
895,201976,Patrick Beverley,8279645210,620085908199,620085908216,775794,620085906914,385,9605.029307607387,1170.4680655762152,2842.8523378446534,154.1311974757328,585.4824928010459,1551.5098538831699,140.9212273261136,385.9666714046174,504.66154430556713,126.48907967768459,433.18695784301406,1052.4483649380857,1485.6353227810996,1242.5145696822253,448.808035637034,156.19524457009547,487.11253480860495,1130.8446687070418,3312.3852953580936,2105,0,0,0,0,0,340,0,0,0,45,0,0
896,201977,Marcus Thornton,10901097184,827854954164,827854954004,1034208,827854953967,514,10609.140410284841,2158.9088898448645,5066.302227486137,189.36630555199014,742.9910355305235,2073.7834023754613,146.31443674080379,781.7620497472941,949.3550104652028,235.6358030739452,409.59443806387003,919.4646376492776,1329.0590757131476,658.6215265417735,405.49180851932084,58.04828667994115,487.3107247492638,742.0578077807983,5842.570864967547,2165,85,0,0,0,0,424,0,0,0,5,0,0
897,201978,Chase Budinger,8812463932,670014903958,670014904132,836922,670014903208,416,7566.764204108449,1247.3134749573178,2913.843858296508,157.54640758632374,445.08069223697186,1252.0162610127172,125.92487911444496,413.71565924329917,519.7380692238285,151.79640219380317,236.00175248019931,1027.934900744971,1263.9366532251702,483.17141493405006,213.11900555695087,65.83464817889352,314.62860386964724,498.88660846618603,3353.423301394907,2316,0,0,0,0,0,357,0,0,0,59,0,0
898,201979,Nick Calathes,2987896200,225485785947,225485785956,281878,225485786820,140,1647.1701890008312,206.16992134867942,467.3582270533606,49.50264172339636,24.403192334128285,85.3765253617113,14.894649146251487,60.41372265325388,108.26212277133664,23.630150996278985,33.45986793038,165.2953534716136,198.75522140199362,315.0202222392752,96.20831283580961,12.470467256381673,155.7952143619783,186.21505454316846,497.15675768474097,1260,0,0,0,0,0,0,0,0,0,140,0,0
899,201980,Danny Green,14103598664,1061393805203,1061393805223,1327232,1061393807341,659,14382.247044773325,1836.667928327092,4369.079425559584,239.56292297208498,1063.7564130772423,2675.836106400633,214.7360191849026,442.66682047123834,541.7882868922187,165.87310347674472,338.96127392637453,1687.0187600475358,2025.9800339739104,927.8617550949741,575.2169462595361,484.4034799093756,605.5842094090006,998.5169055322079,5179.759090202665,3915,0,0,0,0,0,504,0,0,0,155,0,0
900,201981,Taylor Griffin,731526669,56371446357,56371446397,70315,56371446460,35,43.93476763497745,4.377923468870554,10.738666568236296,2.658052635868444,0.0,0.43922076010098626,0.0,0.43922076010098626,1.2642005759610284,0.219610380050493,0.0,3.3663917990673538,3.3663917990673538,0.219610380050493,0.0,2.4759379936135484,3.1467814190168606,5.685164550515661,9.195067697842095,315,0,0,0,0,0,0,0,0,0,35,0,0
901,201985,AJ Price,7220203194,550829561447,550829561614,687800,550829562113,342,3642.2301527073696,540.0371019932024,1409.7218997614345,86.73264096229701,220.85790991779143,680.740333569079,65.50064027918356,209.1443745501744,278.2607338597065,82.40075182525595,65.96767098109689,303.7486767983846,369.7163477794815,552.1177722401903,125.36237567343397,9.313792852354757,227.9998704089945,237.17519407754978,1510.0764884543707,3074,0,0,0,0,0,1,0,0,0,341,0,0
902,201986,Nando De Colo,3080394041,233538849437,233538849555,291803,233538850109,145,1346.6983816210459,152.3044198318925,355.121690520307,40.522197023555776,47.690103863172176,127.23745282096235,25.735461993125405,57.21273384047163,72.90546955012854,24.27028777068775,32.593617800938496,165.6107156326293,198.2043334335678,195.57126418185837,58.23618780324389,9.740262300293763,118.93041780086904,122.60879489353638,409.51167736742883,1305,0,0,0,0,0,0,0,0,0,145,0,0
903,201988,Patty Mills,14278927653,1074278707576,1074278707493,1343385,1074278710033,667,10571.312984149221,1720.7232377198716,4001.074690613267,236.79350506013753,823.9263846213441,2109.647730889947,201.61876572139815,447.0199061377495,529.2960142545478,167.92004960556264,179.16393855793888,751.4831989015182,930.6471374594571,1319.6247497671668,365.3052396872888,43.91193210613814,564.9746451944263,723.2471199292304,4712.392766198836,4515,0,0,0,0,0,372,0,0,0,295,0,0
904,201991,Lester Hudson,1762843006,135291471154,135291471025,168828,135291470960,84,299.37004453898686,40.23760037829565,107.85112375179436,11.439587094392166,12.930990751221112,39.41728367088,5.550455015235127,20.8010624000708,27.262190060557554,7.041651626996541,9.427567267753997,25.309635689977245,34.73720295773124,36.294890045770785,15.589144409450746,6.435724677780374,28.068256365514,27.29943603713345,114.20725390788323,756,0,0,0,0,0,0,0,0,0,84,0,0
905,202066,Garrett Temple,11620349635,872952113655,872952113749,1091800,872952116320,542,9352.834676636116,1042.478382488696,2548.063989666799,169.98165406679138,413.11372367880375,1170.0285685690158,121.97113209916276,433.7062398404041,600.5019821510908,155.70978540785742,192.91393937991393,847.28204241412,1040.195981794034,798.8591254447081,410.96690662543335,147.81496244417903,481.31792089750695,933.9697854552459,2931.7767284966003,3879,0,0,1,0,0,248,0,0,0,293,0,0
906,202067,Diamon Simpson,21100986,1610612745,1610612740,2011,1610612745,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0,1,0,0
